filename,embedding_count,found_in_temp_generated_files,matches
Hybrid Mesh Firewall Study Guide.PDF,718,False,
Zero Trust Access Study Guide.PDF,715,False,
Zero Trust Access Discovery Guide.PDF,58,False,
Hybrid Mesh Firewall Discovery Guide.PDF,55,False,
smart_switch_hypershield_L4-Segmentation_demo-video.docx,2,False,
macro_micro_seg_unified_policy_mgmt_demo-video.docx,2,False,
macro_micro_seg_policy-discovery-analysis_demo-video copy.docx,2,False,
macro_micro_seg_global_visualization_demo-video.docx,2,False,
Zone_Seg_branch_context-aware_demo-video.docx,2,False,
Zone_Seg_DC_ACI_RTC_demo-video.docx,2,False,
Zone_Seg_Campus_RTC_FTD_ISE_demo-video.docx,2,False,
Zone_Seg_Campus_Context_Aware_SGT_Tags_demo-video.docx,2,False,
DC_Edge_SnortML_Zero_Day_Machine_Learning_demo-video.docx,2,False,
DC_Edge_Eve_Encrypted_Visibility_Engine_demo-video.docx,2,False,
Cloud_Edge_Dynamic Tag-based Policy_demo-video.docx,2,False,
Cloud Edge_Automated Cloud Security Orchestration_MCD_demo-video.docx,2,False,
AI_model_protection_asset_discovery_detection_demo_video.docx,2,False,
AI_model_protection_AI_vulnerability_detection_demo-video.docx,2,False,
AI_model_protection_AI-app_AI-applications_demo_video.docx,2,False,
DC_Edge_AIOps_SCC_demo-video.docx,1,False,
